TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_question	optione	text	text	YES		NULL
tbl_question	answer	text	text	NO		NULL
tbl_question	level	int	int	NO		NULL
tbl_question	note	text	text	NO		NULL
tbl_question_reports	id	int	int	NO	PRI	NULL
tbl_question_reports	question_id	int	int	NO	MUL	NULL
tbl_question_reports	user_id	int	int	NO	MUL	NULL
tbl_question_reports	message	varchar	varchar(512)	NO		NULL
tbl_question_reports	date	datetime	datetime	NO		NULL
tbl_quiz_categories	id	int	int	NO	PRI	NULL
tbl_quiz_categories	user_id	int	int	NO	MUL	NULL
tbl_quiz_categories	type	int	int	NO	MUL	NULL
tbl_quiz_categories	type_id	int	int	NO		NULL
tbl_quiz_categories	category	int	int	NO		NULL
tbl_quiz_categories	subcategory	int	int	NO		NULL
tbl_rooms	id	int	int	NO	PRI	NULL
tbl_rooms	room_id	text	text	NO		NULL
tbl_rooms	entry_coin	int	int	NO		0
tbl_rooms	user_id	int	int	NO	MUL	NULL
tbl_rooms	room_type	varchar	varchar(11)	NO		NULL
tbl_rooms	category_id	int	int	NO	MUL	NULL
tbl_rooms	no_of_que	int	int	NO		NULL
tbl_rooms	questions	longtext	longtext	NO		NULL
tbl_rooms	date_created	datetime	datetime	NO		NULL
tbl_rooms	set_user1	int	int	NO		0
tbl_rooms	set_user2	int	int	NO		0
tbl_rooms	set_user3	int	int	NO		0
tbl_rooms	set_user4	int	int	NO		0
tbl_settings	id	int	int	NO	PRI	NULL
tbl_settings	type	varchar	varchar(512)	NO		NULL
tbl_settings	message	text	text	NO		NULL
tbl_slider	id	int	int	NO	PRI	NULL
tbl_slider	language_id	int	int	NO	MUL	NULL
tbl_slider	image	varchar	varchar(255)	NO		NULL
tbl_slider	title	text	text	NO		NULL
tbl_slider	description	text	text	NO		NULL
tbl_subcategory	id	int	int	NO	PRI	NULL
tbl_subcategory	language_id	int	int	NO	MUL	0
tbl_subcategory	maincat_id	int	int	NO	MUL	NULL
tbl_subcategory	subcategory_name	varchar	varchar(250)	NO		NULL
tbl_subcategory	slug	varchar	varchar(250)	YES		NULL
tbl_subcategory	image	text	text	YES		NULL
tbl_subcategory	status	tinyint	tinyint	NO		1
tbl_subcategory	is_premium	tinyint	tinyint	NO		0
tbl_subcategory	coins	int	int	NO		0
